cut_comuna;promedio_notas;paes_complectora;paes_matematica1;paes_matematica2;paes_histciesoc;paes_ciencias;comuna;cut_region;region
1101;5,98499710312862;591,277511961722;595,053743513714;400,377280265340;491,442556084296;480,630601092896;Iquique;1;Tarapacá
1107;5,91157894736842;546,166666666667;552,107652399481;369,995055624227;442,232378854626;444,688990825688;Alto Hospicio;1;Tarapacá
1401;6,15274038461538;530,390728476821;543,202702702703;358,231707317073;450,720930232558;450,255319148936;Pozo Almonte;1;Tarapacá
1402;6,03111111111111;440,083333333333;483,083333333333;344,800000000000;419,363636363636;399,666666666667;Camiña;1;Tarapacá
1403;6,13875000000000;446,933333333333;483,066666666667;327,222222222222;389,750000000000;369,142857142857;Colchane;1;Tarapacá
1404;5,88433333333333;476,363636363636;504,454545454545;317,300000000000;439,733333333333;403,307692307692;Huara;1;Tarapacá
1405;5,90439252336449;518,176470588235;529,512195121951;368,764705882353;437,638888888889;426,709677419355;Pica;1;Tarapacá
2101;5,94805627425615;595,762907069102;600,017269076305;404,409409409409;484,384341637011;483,552161383285;Antofagasta;2;Antofagasta
2102;6,13310559006211;505,443548387097;524,067796610169;359,452380952381;424,589041095890;416,107526881720;Mejillones;2;Antofagasta
2103;6,05375000000000;443,375000000000;460,625000000000;365,875000000000;390,000000000000;399,500000000000;Sierra Gorda;2;Antofagasta
2104;6,27677419354839;530,835294117647;546,011904761905;360,647619047619;434,171428571429;432,301369863014;Taltal;2;Antofagasta
2201;5,93674893945237;596,091428571429;603,188496858386;404,432601880878;493,502606882169;488,999344262295;Calama;2;Antofagasta
2203;5,82952755905512;535,097087378641;556,733333333333;347,000000000000;441,341463414634;430,926315789474;San Pedro de Atacama;2;Antofagasta
2301;5,93914027149321;531,894886363636;531,813753581662;360,281879194631;429,900990099010;439,831417624521;Tocopilla;2;Antofagasta
2302;6,04490196078431;534,068181818182;513,595238095238;332,909090909091;428,000000000000;425,055555555556;María Elena;2;Antofagasta
3101;5,88679446219382;582,983535528596;578,621278458844;391,010784313725;482,693045563549;470,194661458333;Copiapó;3;Atacama
3102;5,75279151943463;540,267241379310;534,182608695652;352,654205607477;460,243902439024;434,718954248366;Caldera;3;Atacama
3103;5,91853333333333;473,916666666667;493,250000000000;346,657894736842;419,161290322581;415,297297297297;Tierra Amarilla;3;Atacama
3201;5,80462962962963;538,165413533835;527,214814814815;369,380952380952;427,934065934066;432,867346938775;Chañaral;3;Atacama
3202;6,14910852713178;564,861244019139;567,560386473430;373,537735849057;443,683673469388;457,746835443038;Diego de Almagro;3;Atacama
3301;5,98374020156775;563,301204819277;570,117250673854;377,341145833333;472,853488372093;459,211428571429;Vallenar;3;Atacama
3302;5,81150000000000;496,903225806452;505,933333333333;345,133333333333;399,818181818182;412,480000000000;Alto del Carmen;3;Atacama
3303;5,96333333333333;525,425000000000;528,075000000000;349,600000000000;401,090909090909;437,240000000000;Freirina;3;Atacama
3304;5,88616161616162;518,637500000000;514,105263157895;339,620689655172;450,166666666667;411,351851851852;Huasco;3;Atacama
4101;5,96410587818697;605,272285966461;612,444345304484;413,738381201044;500,281591604722;495,680864197531;La Serena;4;Coquimbo
4102;5,88467994310100;586,496345029240;583,129650092081;385,189018901890;485,515256588072;476,779179810726;Coquimbo;4;Coquimbo
4103;5,80716763005780;536,260273972603;548,756944444444;368,419354838710;454,459459459459;446,211009174312;Andacollo;4;Coquimbo
4104;5,91266666666667;580,800000000000;570,400000000000;354,000000000000;433,833333333333;461,500000000000;La Higuera;4;Coquimbo
4105;5,82179487179487;588,766666666667;543,275862068965;384,000000000000;479,315789473684;462,684210526316;Paiguano;4;Coquimbo
4106;5,99268623024831;548,646723646724;553,073446327684;369,046052631579;450,206572769953;445,095785440613;Vicuña;4;Coquimbo
4201;6,02283154121864;561,885714285714;548,308888888889;372,252631578947;462,589285714286;453,291666666667;Illapel;4;Coquimbo
4202;5,96365217391304;523,642105263158;538,408602150538;389,048780487805;425,500000000000;442,210526315789;Canela;4;Coquimbo
4203;5,81147335423197;549,368627450980;554,245059288538;376,942857142857;439,462500000000;450,356756756757;Los Vilos;4;Coquimbo
4204;5,94940639269406;559,221910112360;551,353276353276;362,361904761905;449,727272727273;451,274074074074;Salamanca;4;Coquimbo
4301;5,93168539325843;578,014876033058;581,610094287299;391,255621301775;474,153554502370;472,794871794872;Ovalle;4;Coquimbo
4302;6,04436781609195;530,180645161290;536,090322580645;380,444444444444;445,009523809524;445,902654867257;Combarbalá;4;Coquimbo
4303;5,76211111111111;541,645161290323;536,376190476190;347,593220338983;435,563909774436;434,123529411765;Monte Patria;4;Coquimbo
4304;5,67560747663551;547,849315068493;571,774647887324;402,828571428571;408,044444444444;456,561403508772;Punitaqui;4;Coquimbo
4305;6,09525000000000;518,366666666667;522,965517241379;341,250000000000;425,555555555556;432,772727272727;Río Hurtado;4;Coquimbo
5101;5,95263564229037;589,194513031550;587,553551609323;394,400689655172;492,213006597550;478,418788410887;Valparaíso;5;Valparaíso
5102;5,95508557457213;574,147058823529;576,546827794562;373,881944444444;472,232876712329;455,083333333333;Casablanca;5;Valparaíso
5103;6,15443661971831;654,488333333333;662,597337770383;463,061818181818;558,800604229607;545,381081081081;Concón;5;Valparaíso
5104;5,88250000000000;540,285714285714;533,571428571429;393,000000000000;430,000000000000;447,333333333333;Juan Fernández;5;Valparaíso
5105;5,88686098654709;532,767441860465;532,111764705882;360,826666666667;438,588235294118;434,203703703704;Puchuncaví;5;Valparaíso
5107;5,88151767151767;580,273182957393;560,383248730965;376,988165680473;458,641114982578;445,440972222222;Quintero;5;Valparaíso
5109;6,00225906534807;618,361717267552;621,574463007160;421,962858750703;522,752760252366;504,178485092667;Viña del Mar;5;Valparaíso
5201;6,03653061224490;540,948453608247;550,141414141414;377,277777777778;443,206896551724;427,085714285714;Isla de Pascua;5;Valparaíso
5301;6,03706799750468;593,320208023774;579,021116138763;384,466882067851;484,849865951743;475,496191512514;Los Andes;5;Valparaíso
5302;6,07578034682081;565,356589147287;576,116279069767;395,210526315789;476,777777777778;467,734693877551;Calle Larga;5;Valparaíso
5303;5,64314814814815;506,235294117647;548,343750000000;351,428571428571;431,714285714286;415,545454545455;Rinconada;5;Valparaíso
5304;5,74693333333333;525,049180327869;499,557377049180;364,000000000000;436,242424242424;430,368421052632;San Esteban;5;Valparaíso
5401;5,80515007898894;558,236538461538;562,535372848948;381,154228855721;454,210526315789;455,991712707182;La Ligua;5;Valparaíso
5402;5,86432717678100;548,937293729373;555,748344370861;375,791666666667;460,608433734940;445,784313725490;Cabildo;5;Valparaíso
5403;5,84493333333333;539,224137931035;551,694915254237;371,687500000000;449,933333333333;438,268292682927;Papudo;5;Valparaíso
5404;6,11875000000000;532,500000000000;528,000000000000;347,885245901639;441,506329113924;442,807692307692;Petorca;5;Valparaíso
5405;6,07099415204678;592,006993006993;602,590277777778;403,531250000000;453,208791208791;487,057471264368;Zapallar;5;Valparaíso
5501;5,98698233562316;603,997079439252;612,100529100529;412,555555555556;494,561913696060;485,925217391304;Quillota;5;Valparaíso
5502;5,98551362683438;571,364000000000;570,542740841248;384,242320819113;470,604545454545;461,477272727273;Calera;5;Valparaíso
5503;6,00617834394904;545,362962962963;539,308270676692;367,680000000000;444,875000000000;452,515151515152;Hijuelas;5;Valparaíso
5504;5,88031250000000;555,802631578947;541,039473684211;373,148148148148;451,146341463415;441,021739130435;La Cruz;5;Valparaíso
5506;5,92504854368932;535,339920948617;540,366935483871;371,542253521127;441,040462427746;437,489690721649;Nogales;5;Valparaíso
5601;5,99568527918782;577,728753541076;578,472022955524;388,851162790698;480,191539365452;465,799787007455;San Antonio;5;Valparaíso
5602;5,96046948356808;578,191616766467;559,754491017964;387,521739130435;485,478260869565;460,795918367347;Algarrobo;5;Valparaíso
5603;5,95525862068965;561,572549019608;551,612000000000;366,416000000000;463,826086956522;449,780645161290;Cartagena;5;Valparaíso
5604;6,06473282442748;596,864864864865;578,711711711712;376,250000000000;483,686746987952;458,876404494382;El Quisco;5;Valparaíso
5605;5,86650273224044;544,550000000000;519,172413793103;351,263157894737;451,571428571429;438,243243243243;El Tabo;5;Valparaíso
5606;5,95805405405405;575,265822784810;573,363057324841;382,865671641791;477,784313725490;451,915887850467;Santo Domingo;5;Valparaíso
5701;5,96769108280255;587,507161458333;587,371502927781;392,232876712329;490,168502202643;473,457446808511;San Felipe;5;Valparaíso
5702;5,72603960396040;513,137724550898;524,079268292683;363,154761904762;420,909090909091;415,467741935484;Catemu;5;Valparaíso
5703;5,78782722513089;563,495356037152;550,185185185185;367,832214765101;455,852678571429;440,527131782946;Llaillay;5;Valparaíso
5704;6,06018181818182;557,086956521739;555,673913043478;438,000000000000;450,045454545455;478,483870967742;Panquehue;5;Valparaíso
5705;5,96901515151515;583,259259259259;578,644859813084;377,736842105263;488,828125000000;455,513888888889;Putaendo;5;Valparaíso
5706;5,91400000000000;531,648648648649;517,648148148148;360,900000000000;419,776119402985;432,927536231884;Santa María;5;Valparaíso
5801;5,94027865737809;595,963572267920;588,918149466192;393,686496694995;492,985333333333;479,380024360536;Quilpué;5;Valparaíso
5802;5,86865257595773;567,467905405405;556,878424657534;375,761565836299;462,306905370844;454,528571428571;Limache;5;Valparaíso
5803;5,69888268156425;527,647058823529;512,633587786260;352,621621621622;425,487804878049;428,746268656716;Olmué;5;Valparaíso
5804;6,04309827115560;616,373007438895;619,780683030950;408,765306122449;510,745019920319;498,825552825553;Villa Alemana;5;Valparaíso
6101;5,89321454154728;611,931181349473;611,970474676357;417,531602155806;508,688221709007;500,840038010770;Rancagua;6;Libertador Gral. Bernardo O'Higgins
6102;5,91488888888889;543,257575757576;515,428571428571;358,619047619048;453,437500000000;430,306122448980;Codegua;6;Libertador Gral. Bernardo O'Higgins
6103;5,89304347826087;556,375000000000;598,200000000000;427,000000000000;485,000000000000;470,285714285714;Coinco;6;Libertador Gral. Bernardo O'Higgins
6104;5,75035842293907;542,138095238095;542,913043478261;357,593750000000;448,329787234043;435,218181818182;Coltauco;6;Libertador Gral. Bernardo O'Higgins
6105;5,84363057324841;614,977777777778;636,287356321839;438,080000000000;532,046296296296;512,509900990099;Doñihue;6;Libertador Gral. Bernardo O'Higgins
6106;5,78876369327074;556,679671457906;547,537313432836;376,668674698795;472,120833333333;460,231671554252;Graneros;6;Libertador Gral. Bernardo O'Higgins
6107;5,96245569620253;566,264984227129;550,401273885350;371,408000000000;463,104166666667;442,485943775100;Las Cabras;6;Libertador Gral. Bernardo O'Higgins
6108;6,04035776614311;634,894519131334;654,303370786517;459,023762376238;534,958424507659;531,459420289855;Machalí;6;Libertador Gral. Bernardo O'Higgins
6109;5,89357894736842;487,441558441558;503,080000000000;367,750000000000;417,200000000000;415,500000000000;Malloa;6;Libertador Gral. Bernardo O'Higgins
6110;5,88732240437158;527,446808510638;526,022058823529;370,875000000000;438,391891891892;420,378378378378;Mostazal;6;Libertador Gral. Bernardo O'Higgins
6111;5,89019704433498;578,512195121951;569,674846625767;386,333333333333;491,617647058824;453,827338129496;Olivar;6;Libertador Gral. Bernardo O'Higgins
6112;5,86245033112583;564,652892561983;562,191666666667;373,090909090909;459,608695652174;449,291139240506;Peumo;6;Libertador Gral. Bernardo O'Higgins
6113;5,82394736842105;506,412500000000;514,910256410256;348,945945945946;410,827586206897;411,921875000000;Pichidegua;6;Libertador Gral. Bernardo O'Higgins
6114;6,01935135135135;583,673333333333;566,546666666667;371,513513513513;459,320987654321;465,336206896552;Quinta de Tilcoco;6;Libertador Gral. Bernardo O'Higgins
6115;5,93486972147350;588,082392776524;585,672018348624;381,840095465394;473,339130434783;482,196232339089;Rengo;6;Libertador Gral. Bernardo O'Higgins
6116;5,90580745341615;573,125000000000;565,068441064639;388,024000000000;454,356164383562;459,005050505051;Requínoa;6;Libertador Gral. Bernardo O'Higgins
6117;6,08628942486085;598,623883928571;612,070469798658;401,156626506024;499,058823529412;490,607033639144;San Vicente;6;Libertador Gral. Bernardo O'Higgins
6201;5,90040000000000;592,170542635659;579,578125000000;388,590551181102;474,500000000000;478,432160804020;Pichilemu;6;Libertador Gral. Bernardo O'Higgins
6203;5,72013333333333;567,588235294118;551,985294117647;378,093750000000;473,500000000000;449,754385964912;Litueche;6;Libertador Gral. Bernardo O'Higgins
6204;5,67590909090909;529,135135135135;548,486486486486;336,833333333333;449,500000000000;449,625000000000;Marchihue;6;Libertador Gral. Bernardo O'Higgins
6205;5,74135802469136;539,214285714286;531,945454545455;355,068965517241;439,870967741935;428,590909090909;Navidad;6;Libertador Gral. Bernardo O'Higgins
6206;5,77962962962963;525,400000000000;560,333333333333;362,800000000000;477,000000000000;429,500000000000;Paredones;6;Libertador Gral. Bernardo O'Higgins
6301;5,89425806451613;598,144686299616;595,858435681965;408,292397660819;481,258064516129;475,451939291737;San Fernando;6;Libertador Gral. Bernardo O'Higgins
6302;6,09734848484849;537,603960396040;541,244897959184;366,685185185185;451,312500000000;420,034883720930;Chépica;6;Libertador Gral. Bernardo O'Higgins
6303;5,93329545454545;584,271386430678;577,049418604651;366,858823529412;468,744047619048;465,881679389313;Chimbarongo;6;Libertador Gral. Bernardo O'Higgins
6304;6,09855555555556;539,029850746269;537,447761194030;359,310344827586;445,514285714286;434,043478260870;Lolol;6;Libertador Gral. Bernardo O'Higgins
6305;6,03814102564103;589,096774193548;595,735537190083;400,085714285714;473,967741935484;455,385542168675;Nancagua;6;Libertador Gral. Bernardo O'Higgins
6306;6,14083333333333;535,424242424242;558,935483870968;397,636363636364;439,562500000000;420,173913043478;Palmilla;6;Libertador Gral. Bernardo O'Higgins
6307;6,12595238095238;557,058823529412;538,102941176471;392,578947368421;466,939393939394;464,431818181818;Peralillo;6;Libertador Gral. Bernardo O'Higgins
6308;5,49714285714286;470,500000000000;481,166666666667;330,000000000000;382,500000000000;408,750000000000;Placilla;6;Libertador Gral. Bernardo O'Higgins
6310;5,99703336339044;602,310679611650;610,564074479737;405,567774936061;492,208602150538;477,090775988287;Santa Cruz;6;Libertador Gral. Bernardo O'Higgins
7101;5,99445206598073;594,300703517588;603,845797218303;405,757670075589;482,228135467064;484,291395892904;Talca;7;Maule
7102;5,98702606635071;588,225947521866;610,111918604651;402,714285714286;482,115068493151;485,126315789474;Constitución;7;Maule
7103;6,25893939393939;558,020000000000;568,294117647059;356,850000000000;436,630434782609;440,666666666667;Curepto;7;Maule
7104;5,79368421052632;565,214285714286;570,518518518518;375,142857142857;506,444444444444;461,636363636364;Empedrado;7;Maule
7105;5,91394736842105;565,243589743590;586,066006600660;383,489361702128;465,475862068966;459,120622568093;Maule;7;Maule
7106;5,72647058823529;521,541666666667;519,142857142857;349,714285714286;417,230769230769;384,400000000000;Pelarco;7;Maule
7107;5,88500000000000;513,333333333333;510,166666666667;380,666666666667;423,800000000000;425,111111111111;Pencahue;7;Maule
7108;5,69719298245614;516,073170731707;536,365853658537;352,782608695652;415,846153846154;430,000000000000;Río Claro;7;Maule
7109;5,86553784860558;561,395721925134;559,778378378378;363,411764705882;473,549019607843;448,806666666667;San Clemente;7;Maule
7201;6,12359004739336;574,134978229318;576,288629737609;388,121710526316;453,372093023256;471,117863720074;Cauquenes;7;Maule
7202;5,95400000000000;488,510204081633;526,560000000000;355,523809523810;400,975000000000;417,292682926829;Chanco;7;Maule
7203;6,06187500000000;551,717948717949;561,658227848101;361,846153846154;430,190476190476;438,869565217391;Pelluhue;7;Maule
7301;6,01455954323002;612,324037184595;619,955059920107;414,268202080238;502,077469335055;494,593961243804;Curicó;7;Maule
7302;6,29916666666667;607,889830508475;612,840336134454;414,926829268293;503,583333333333;482,262626262626;Hualañé;7;Maule
7303;5,98032000000000;565,693069306931;586,383838383838;377,480000000000;452,380952380952;467,511904761905;Licantén;7;Maule
7304;5,98240579710145;568,249530956848;558,106741573034;365,476851851852;462,399350649351;450,625899280576;Molina;7;Maule
7305;5,89000000000000;520,166666666667;523,500000000000;384,857142857143;463,625000000000;417,666666666667;Rauco;7;Maule
7306;5,90700680272109;551,504672897196;559,388349514563;363,470588235294;442,709090909091;435,561797752809;Romeral;7;Maule
7307;6,11833333333333;521,336842105263;536,880434782609;360,911111111111;441,528301886792;428,367816091954;Sagrada Familia;7;Maule
7308;5,86426273458445;603,962686567164;601,041198501873;387,526881720430;511,984000000000;466,291666666667;Teno;7;Maule
7309;5,90891891891892;559,193548387097;555,718750000000;354,266666666667;439,043478260870;455,222222222222;Vichuquén;7;Maule
7401;5,97057174071377;600,057777777778;603,973542600897;395,350093109870;485,684429641965;480,691451990632;Linares;7;Maule
7402;5,83077922077922;532,809917355372;549,155737704918;364,205882352941;429,905405405405;439,797979797980;Colbún;7;Maule
7403;5,94616216216216;559,187500000000;559,427419354839;362,156862745098;461,428571428571;452,710000000000;Longaví;7;Maule
7404;6,01398447606727;587,280120481928;591,947530864198;391,664285714286;464,964769647696;481,552062868369;Parral;7;Maule
7405;5,84412903225806;548,105042016807;544,062500000000;371,590551181102;435,250000000000;446,108808290155;Retiro;7;Maule
7406;5,89826903023983;584,651572327044;592,379093198992;390,273417721519;479,175097276265;471,938879456706;San Javier;7;Maule
7407;5,75921568627451;515,437500000000;496,468750000000;342,352941176471;442,461538461538;433,148148148148;Villa Alegre;7;Maule
7408;5,81127272727273;503,273972602740;526,291666666667;354,243243243243;415,146341463415;409,836065573770;Yerbas Buenas;7;Maule
8101;6,01570041152263;617,636454183267;618,972531847134;413,328141225338;504,699303564113;499,036504130029;Concepción;8;Biobío
8102;5,97772983114447;579,441260744986;575,652375434531;386,638888888889;470,993678887484;466,165165165165;Coronel;8;Biobío
8103;5,98630423138725;610,070131496556;625,062932662052;423,927051671732;504,627551020408;507,788085106383;Chiguayante;8;Biobío
8104;6,02585365853658;551,572815533981;547,717171717172;374,196078431373;445,423728813559;453,662337662338;Florida;8;Biobío
8105;6,09717791411043;544,800000000000;532,230158730159;368,444444444444;451,477611940299;440,387500000000;Hualqui;8;Biobío
8106;5,98813714285714;570,680456490728;565,225251076040;382,099206349206;451,424324324324;460,960451977401;Lota;8;Biobío
8107;6,15866295264624;579,601941747573;574,665562913907;378,807692307692;479,068750000000;467,369565217391;Penco;8;Biobío
8108;6,09427238805970;648,848972792893;667,726250702642;451,907038512616;535,698663426488;533,953418482344;San Pedro de la Paz;8;Biobío
8109;5,95988235294118;565,423255813953;568,943661971831;366,949152542373;470,250000000000;463,973262032086;Santa Juana;8;Biobío
8110;6,00697006970070;598,686313686314;598,282511210762;401,281729428173;485,202094240838;487,523458445040;Talcahuano;8;Biobío
8111;6,00383957219251;579,194010416667;570,982849604222;387,843636363636;464,250614250614;468,445407279029;Tomé;8;Biobío
8112;6,04448828606658;617,582959641256;633,644578313253;416,278985507246;508,515320334262;506,182008368201;Hualpén;8;Biobío
8201;6,03496042216359;577,367892976589;585,155405405405;390,113207547170;478,229050279330;475,875555555556;Lebu;8;Biobío
8202;5,87424200278164;578,532883642496;584,329931972789;389,287553648069;461,229102167183;472,084745762712;Arauco;8;Biobío
8203;6,05518565941101;583,470099667774;588,628333333333;390,098712446352;474,827044025157;473,242038216561;Cañete;8;Biobío
8204;6,10072916666667;549,835443037975;545,766233766234;401,333333333333;453,686274509804;445,222222222222;Contulmo;8;Biobío
8205;6,09340989399293;581,906183368870;582,335483870968;375,737588652482;464,584033613445;475,842592592593;Curanilahue;8;Biobío
8206;6,03729411764706;568,586614173228;563,316872427984;364,631578947368;461,437037037037;458,138613861386;Los Alamos;8;Biobío
8207;5,77704225352113;486,386363636364;489,636363636364;385,000000000000;425,214285714286;412,812500000000;Tirúa;8;Biobío
8301;5,92104854368932;590,624094445935;597,523590021692;400,710181136790;477,465789473684;478,149113660063;Los Angeles;8;Biobío
8302;5,99886792452830;575,414634146341;566,690476190476;370,272727272727;457,913043478261;478,178571428571;Antuco;8;Biobío
8303;6,09593103448276;570,885714285714;593,698275862069;399,742424242424;445,320652173913;453,672794117647;Cabrero;8;Biobío
8304;6,19470720720721;581,629333333333;603,554347826087;397,027972027972;474,659685863874;476,656957928803;Laja;8;Biobío
8305;5,80893617021277;546,994722955145;548,978436657682;368,269230769231;442,492753623188;448,760273972603;Mulchén;8;Biobío
8306;6,10838174273859;575,783980582524;585,763990267640;386,124293785311;459,265306122449;468,204819277108;Nacimiento;8;Biobío
8307;5,78370786516854;517,746031746032;535,033333333333;352,560000000000;434,911764705882;423,660000000000;Negrete;8;Biobío
8308;5,80640000000000;530,285714285714;525,400000000000;392,500000000000;436,583333333333;452,875000000000;Quilaco;8;Biobío
8309;5,93352380952381;509,800000000000;514,988505747126;371,232558139535;428,866666666667;428,083333333333;Quilleco;8;Biobío
8310;5,87617647058824;534,225806451613;529,290322580645;352,300000000000;465,227272727273;444,166666666667;San Rosendo;8;Biobío
8311;5,84772511848341;526,936046511628;521,070588235294;353,487179487180;411,855670103093;432,751773049645;Santa Bárbara;8;Biobío
8312;6,05790697674419;563,098591549296;551,412587412587;374,208955223881;461,767676767677;440,464000000000;Tucapel;8;Biobío
